Specie	TE_class	TE_order	TE_lineage	Abundance_absolute	Relative_pct
R_pubera	Class_II	Subclass_1	MuDR/Mutator	122	0,6522
R_pubera	Class_II	Subclass_1	Merlin	18	0,0962
R_pubera	Class_II	Subclass_2	Helitron	5	0,0267
R_breviuscula	Class_I	LTR	Copia	2889	65,8987
R_breviuscula	Class_I	LTR	Gypsy	696	15,8759
R_breviuscula	Class_I	LTR	Other	177	4,0374
R_breviuscula	Class_I	LINE	LINE	67	1,5283
R_breviuscula	Class_I	Pararetrovirus	Pararetrovirus	26	0,5931
R_breviuscula	Class_II	Subclass_1	PIF/Harbinger	2	0,0456
R_breviuscula	Class_II	Subclass_1	EnSpm/CACTA	13	0,2965
R_breviuscula	Class_II	Subclass_1	hAT	225	5,1323
R_breviuscula	Class_II	Subclass_1	MuDR/Mutator	268	6,1131
R_breviuscula	Class_II	Subclass_1	Merlin	0	0,0
R_breviuscula	Class_II	Subclass_2	Helitron	21	0,479
R_colorata	Class_I	LTR	Copia	4037	81,9862
R_colorata	Class_I	LTR	Gypsy	570	11,576
R_colorata	Class_I	LTR	Other	55	1,117
R_colorata	Class_I	LINE	LINE	48	0,9748
R_colorata	Class_I	Pararetrovirus	Pararetrovirus	5	0,1015
R_colorata	Class_II	Subclass_1	PIF/Harbinger	1	0,0203
R_colorata	Class_II	Subclass_1	EnSpm/CACTA	8	0,1625
R_colorata	Class_II	Subclass_1	hAT	155	3,1478
R_colorata	Class_II	Subclass_1	MuDR/Mutator	41	0,8327
R_colorata	Class_II	Subclass_1	Merlin	0	0,0
R_colorata	Class_II	Subclass_2	Helitron	4	0,0812
R_nervosa	Class_I	LTR	Copia	2604	61,7794
R_nervosa	Class_I	LTR	Gypsy	1098	26,0498
R_nervosa	Class_I	LTR	Other	2	0,0474
R_nervosa	Class_I	LINE	LINE	280	6,6429
R_nervosa	Class_I	Pararetrovirus	Pararetrovirus	3	0,0712
R_nervosa	Class_II	Subclass_1	PIF/Harbinger	3	0,0712
R_nervosa	Class_II	Subclass_1	EnSpm/CACTA	2	0,0474
R_nervosa	Class_II	Subclass_1	hAT	104	2,4674
R_nervosa	Class_II	Subclass_1	MuDR/Mutator	101	2,3962
R_nervosa	Class_II	Subclass_1	Merlin	0	0,0
R_nervosa	Class_II	Subclass_2	Helitron	18	0,427
R_nervosa_sub_ciliata	Class_I	LTR	Copia	2801	78,1093
R_nervosa_sub_ciliata	Class_I	LTR	Gypsy	624	17,401
R_nervosa_sub_ciliata	Class_I	LTR	Other	0	0,0
R_nervosa_sub_ciliata	Class_I	LINE	LINE	34	0,9481
R_nervosa_sub_ciliata	Class_I	Pararetrovirus	Pararetrovirus	39	1,0876
